city,country,is_capital,population,lat,lon
Логроньо,Испания,0,150979,42.47,-2.445555555
Санта-Крус-де-Тенерифе,Испания,0,203692,28.466666666,-16.25
Таррагона,Испания,0,131507,41.11868,1.24532
Льейда,Испания,0,137327,41.616666666,0.633333333
Кастельон-де-ла-Плана,Испания,0,169498,39.97,-0.05
Альбасете,Испания,0,172816,38.995555555,-1.855833333
Бадалона,Испания,0,215848,41.433333333,2.233333333
Бадахос,Испания,0,150543,38.88,-6.97
Хаэн,Испания,0,113522,37.769722222,-3.788888888
Кадис,Испания,0,118048,36.516666666,-6.283333333
Саламанка,Испания,0,144436,40.965,-5.663888888
Леон,Испания,0,125317,42.598888888,-5.566944444
Детройт,Соединённые Штаты Америки,0,680250,42.331666666,-83.0475
Брюгге,Бельгия,0,118053,51.209444444,3.22
Пьяченца,Италия,0,102355,45.05,9.7
Реджо-Эмилия,Италия,0,170996,44.7,10.633333333
Феррара,Италия,0,132009,44.835297,11.619865
Равенна,Италия,0,159162,44.417777777,12.199444444
Форли,Италия,0,117859,44.2225,12.040833333
Римини,Италия,0,148908,44.0595,12.5685
Прато,Италия,0,191749,43.880813888,11.096561111
Латина,Италия,0,126181,41.467597222,12.9037
Фоджа,Италия,0,151975,41.466666666,15.566666666
Андрия,Италия,0,100365,41.231666666,16.308333333
Таранто,Италия,0,200385,40.418055555,17.240833333
Сассари,Италия,0,127745,40.726666666,8.559166666
Мессина,Италия,0,236962,38.183333333,15.55
Сиракуза,Италия,0,122086,37.083333333,15.283333333
Шэньчжэнь,Китайская Народная Республика,0,11908400,22.535,114.054
Курган,Россия,0,322042,55.440833333,65.341111111
Новороссийск,Россия,0,270774,44.716666666,37.766666666
Армавир,Россия,0,190871,45.0,41.116666666
Матарам,Индонезия,0,408900,-8.583333333,116.116666666
Патна,Индия,0,1683200,25.61,85.141388888
Тебриз,Иран,0,1494998,38.083333333,46.283333333
Хантсвилл,Соединённые Штаты Америки,0,180105,34.713611111,-86.586111111
Мобил,Соединённые Штаты Америки,0,195111,30.727669444,-88.052672222
Саутгемптон,Великобритания,0,239400,50.906944,-1.404722
Констанца,Румыния,0,283872,44.173333333,28.638333333
Крайстчерч,Новая Зеландия,0,362000,-43.53,172.620277777
Оттава,Канада,1,934243,45.416666666,-75.7
Будапешт,Венгрия,1,1752704,47.498333333,19.040833333
Хельсинки,Финляндия,1,620982,60.173333333,24.948611111
Стокгольм,Швеция,1,935619,59.329444444,18.068611111
Копенгаген,Дания,1,602481,55.676111111,12.568888888
Вена,Австрия,1,1840573,48.20833,16.373064
Минск,Белоруссия,1,1974800,53.902246,27.561837
Братислава,Словакия,1,417389,48.144722222,17.112777777
Канберра,Австралия,1,381488,-35.302777777,149.141666666
Пномпень,Камбоджа,1,1501725,11.55,104.916666666
Каракас,Венесуэла,1,1943901,10.5,-66.933333333
Парамарибо,Суринам,1,240000,5.866666666,-55.166666666
Асунсьон,Парагвай,1,524190,-25.3,-57.633333333
Кито,Эквадор,1,2644145,-0.218611111,-78.509722222
Кито,Эквадор,1,2671191,-0.218611111,-78.509722222
Богота,Колумбия,1,8181047,4.598888888,-74.080833333
Гватемала,Гватемала,1,2110100,14.622777777,-90.531388888
Нассау,Багамские Острова,1,274400,25.066666666,-77.333333333
Сан-Сальвадор,Сальвадор,1,567698,13.69,-89.19
Сан-Хосе,Коста-Рика,1,288054,9.933333333,-84.083333333
Сана,Йемен,1,2957000,15.35,44.2
Катманду,Непал,1,975453,27.716666666,85.366666666
Бангкок,Таиланд,1,5696409,13.75,100.516666666
Джуба,Южный Судан,1,372410,4.85,31.6
Могадишо,Сомали,1,2120000,2.040833333,45.3425
Хартум,Судан,1,5345000,15.60308,32.52654
Эдмонтон,Канада,0,932546,53.5,-113.5
Реджайна,Канада,0,215106,50.454722222,-104.606666666
Виннипег,Канада,0,705244,49.883333,-97.15
Галифакс,Канада,0,403131,44.647777777,-63.571388888
Вроцлав,Польша,0,634404,51.10773,17.03533
Болонья,Италия,0,388367,44.493888888,11.342777777
Катания,Италия,0,313396,37.502669444,15.087269444
Верона,Италия,0,252520,45.438158333,10.993741666
Флоренция,Италия,0,382258,43.771388888,11.254166666
Неаполь,Италия,0,972212,40.833333333,14.25
Палермо,Италия,0,674435,38.115658,13.361262
Парма,Италия,0,194417,44.801472222,10.328
Мурманск,Россия,0,298096,68.966666666,33.083333333
Калининград,Россия,0,467289,54.716666666,20.5
Архангельск,Россия,0,351488,64.55,40.533333333
Петрозаводск,Россия,0,278551,61.783333333,34.35
Вологда,Россия,0,313012,59.216666666,39.9
Сыктывкар,Россия,0,245313,61.666666666,50.816666666
Череповец,Россия,0,318856,59.133333333,37.916666666
Псков,Россия,0,209840,57.816666666,28.333333333
Сызрань,Россия,0,173260,53.166666666,48.466666666
Великий Новгород,Россия,0,222594,58.525,31.275
Тверь,Россия,0,419363,56.857827777,35.921927777
Ярославль,Россия,0,608079,57.616666666,39.85
Кострома,Россия,0,277648,57.766666666,40.933333333
Иваново,Россия,0,406933,57.0,40.983333333
Владимир,Россия,0,356168,56.133333333,40.416666666
Рязань,Россия,0,537622,54.616666666,39.716666666
Тула,Россия,0,485221,54.2,37.616666666
Брянск,Россия,0,406553,53.25,34.366666666
Калуга,Россия,0,341892,54.533333333,36.266666666
Орёл,Россия,0,318633,52.966666666,36.083333333
Киль,Германия,0,247236,54.325277777,10.140555555
Ганновер,Германия,0,532864,52.374444444,9.738611111
Дюссельдорф,Германия,0,613230,51.216666666,6.816666666
Саарбрюккен,Германия,0,179709,49.2354,6.98165
Саарбрюккен,Германия,0,179709,49.233333333,7.0
Мюнхен,Германия,0,1464301,48.137194444,11.5755
Эрфурт,Германия,0,211113,50.978055555,11.029166666
Дрезден,Германия,0,547172,51.033333333,13.733333333
Магдебург,Германия,0,238136,52.133333333,11.616666666
Эссен,Германия,0,590194,51.450833333,7.013055555
Лейпциг,Германия,0,571088,51.333333333,12.383333333
Нюрнберг,Германия,0,511628,49.452777777,11.077777777
Билефельд,Германия,0,333451,52.016666666,8.516666666
Фрайбург-им-Брайсгау,Германия,0,227590,47.994722222,7.849722222
Росток,Германия,0,207513,54.083333333,12.133333333
Вюрцбург,Германия,0,126010,49.794444444,9.929444444
Ульм,Германия,0,123953,48.4,9.983333333
Гёттинген,Германия,0,119177,51.533888888,9.935555555
Ройтлинген,Германия,0,115006,48.483333333,9.216666666
Гомель,Белоруссия,0,527172,52.441666666,30.983333333
Одесса,Украина,0,1010783,46.47747,30.73262
Одесса,Украина,0,1010783,46.485722,30.743444
Сидней,Австралия,0,4840600,-33.866666666,151.2
Коччи,Индия,0,601574,9.966666666,76.283333333
Дар-эс-Салам,Танзания,0,4715000,-6.8,39.283333333
Байуган,Филиппины,0,103202,8.7143,125.7481
Хожув,Польша,0,111536,50.3,18.95
Хожув,Польша,0,111536,50.30582,18.9742
Эльблонг,Польша,0,122568,54.166666666,19.4
Зелёна-Гура,Польша,0,138763,51.939722222,15.505
Зелёна-Гура,Польша,0,139330,51.939722222,15.505
Ачинск,Россия,0,105364,56.266666666,90.5
Балашиха,Россия,0,450771,55.8,37.95
Балаково,Россия,0,191260,52.03898,47.78392
Батайск,Россия,0,124705,47.133333333,39.75
Кишинёв,Молдавия,1,685900,47.005555555,28.8575
Подгорица,Черногория,1,187085,42.439722222,19.266111111
